"POWPUMA","IndexYear","AltCWI","AltCWIHigh","AltCWILow"
"100",2005,0.803130590769228,0.907789276844268,0.710537965453389
"200",2005,0.893547621975108,0.978267733126311,0.816164456519266
"300",2005,0.838138159386401,0.966220101404655,0.727034733802776
"400",2005,0.731173694606082,0.845689299211548,0.632164758596733
"500",2005,0.821750016096742,0.88780223023992,0.760612066464971
"600",2005,0.801228374823446,0.914551533716291,0.701947222168641
"700",2005,0.821195102818411,0.926408099596893,0.727931240223801
"800",2005,0.872103064356822,0.981356103503161,0.77501301733954
"900",2005,0.959068653617842,1.09628928324559,0.839023692386387
"1000",2005,0.830370465311895,0.947985538978306,0.727347708706
"1100",2005,0.853387058691412,0.998179829040297,0.729597464058331
"1200",2005,0.933154326748332,1.09117008742929,0.798021323678887
"1300",2005,0.910034220855195,1.00067339138838,0.827604981060293
"1400",2005,0.895814656572885,0.979546178103089,0.819240498171125
"1500",2005,0.807291487765335,0.960124178521265,0.678786724465281
"1600",2005,0.720430931674213,0.868989456135113,0.597269303613133
"1700",2005,0.848904605614643,0.970937041675031,0.742209843174309
"1800",2005,0.790044994099196,0.960862633867638,0.649594510912348
"1900",2005,0.844870757851315,1.0009836711359,0.713105136532586
"2000",2005,0.923712940258826,1.05168472830655,0.811313098912751
"2100",2005,1.08972997134635,1.13780346653077,1.04368763620603
"2200",2005,1.04775455324351,1.11373403355249,0.985683808494982
"2300",2005,1.06729648406493,1.10199501394141,1.033690507204
"2400",2005,0.98467738585732,1.16130134040742,0.834916417024578
"2500",2005,1.00121688395432,1.0391367453877,0.964680782548203
"2600",2005,0.985623498274754,1.16130493949204,0.836519028995333
"2700",2005,0.887048756843105,1.00414797066438,0.783605125942031
"2800",2005,0.72595219453627,0.855830629569653,0.615783743352382
"2900",2005,0.87277007095715,0.977635741621311,0.779152770637558
"3000",2005,0.710376250796869,0.806093267039582,0.626024851379185
"3100",2005,0.836940848065959,0.997657485352816,0.702114697123381
"3200",2005,0.982290682237773,1.092649496184,0.883078231199465
"3300",2005,0.816118166052119,0.975141907168662,0.683027625070648
"3400",2005,0.948393765384955,1.13730776115862,0.790859576395355
"3500",2005,0.934076568011347,1.00408027543051,0.868953465432594
"3600",2005,0.906467296342128,1.04219736225279,0.788413969463206
"3700",2005,0.859224733190233,0.940764866422496,0.784752033665202
"3800",2005,0.930672195970742,1.01275389557793,0.855243055726517
"3900",2005,0.781350625307729,0.913052240189593,0.668646078281356
"4000",2005,0.846176675040188,0.936208068570766,0.764803241308474
"4100",2005,0.786316869804852,0.972704425558358,0.635644501550184
"4200",2005,0.851075531510956,1.07230867718843,0.675486057089301
"4300",2005,1.082588697431,1.21028445915879,0.968365972921729
"4400",2005,1.05593126876849,1.2045325937723,0.925662659630618
"4500",2005,1.02249331306135,1.0952098474848,0.954604798026787
"4625",2005,1.00581589077983,1.15893682018319,0.872925588804149
"4690",2005,1.07994420264639,1.11473910427655,1.04623537144725
"4700",2005,1.12440122189176,1.20578669121314,1.04850892533877
"4800",2005,1.10036579548866,1.21198157499656,0.999029117983772
"4900",2005,0.944536650552048,1.05106956765707,0.848801555756926
"5000",2005,0.906390940381295,1.11300419238342,0.738132472840026
"5100",2005,0.927155609771518,1.08197237103511,0.794491197504805
"5200",2005,1.10328114809252,1.17499452770363,1.0359446474319
"5400",2005,0.972136780166624,1.04623461628834,0.903286800722981
"5500",2005,0.915972911026869,1.02567148183166,0.818006923851214
"5600",2005,0.973143759505668,1.01375377162836,0.934160545852941
"5700",2005,0.729363691983566,0.887924033632157,0.59911813965414
"5800",2005,0.799893569804775,0.918283674400267,0.696766958677448
"5900",2005,0.712534188598245,0.869863146540473,0.583660742428909
"6000",2005,0.986276393210086,1.13621004091536,0.85612790661472
"6100",2005,0.848820912605503,1.08275970211715,0.665426447131002
"6200",2005,0.880933510291306,0.995518341869189,0.779537469994836
"6300",2005,0.923740814800559,1.0043200440514,0.849626668294123
"6400",2005,0.739521730202094,0.968084422830071,0.564922207757799
"6500",2005,0.969291687614106,1.34551639578996,0.698264531459832
"6600",2005,0.862649485894812,0.986299513688103,0.754501168445177
"6700",2005,0.754509367603586,0.857457421788012,0.663921462845891
"6800",2005,1.09191815711878,1.30904965328211,0.910802167707176
"6900",2005,1.04164005467083,1.19633833588546,0.906945778588274
"100",2006,0.803130590769228,0.907789276844268,0.710537965453389
"200",2006,0.893547621975108,0.978267733126311,0.816164456519266
"300",2006,0.838138159386401,0.966220101404655,0.727034733802776
"400",2006,0.731173694606082,0.845689299211548,0.632164758596733
"500",2006,0.821750016096742,0.88780223023992,0.760612066464971
"600",2006,0.801228374823446,0.914551533716291,0.701947222168641
"700",2006,0.821195102818411,0.926408099596893,0.727931240223801
"800",2006,0.872103064356822,0.981356103503161,0.77501301733954
"900",2006,0.959068653617842,1.09628928324559,0.839023692386387
"1000",2006,0.830370465311895,0.947985538978306,0.727347708706
"1100",2006,0.853387058691412,0.998179829040297,0.729597464058331
"1200",2006,0.933154326748332,1.09117008742929,0.798021323678887
"1300",2006,0.910034220855195,1.00067339138838,0.827604981060293
"1400",2006,0.895814656572885,0.979546178103089,0.819240498171125
"1500",2006,0.807291487765335,0.960124178521265,0.678786724465281
"1600",2006,0.720430931674213,0.868989456135113,0.597269303613133
"1700",2006,0.848904605614643,0.970937041675031,0.742209843174309
"1800",2006,0.790044994099196,0.960862633867638,0.649594510912348
"1900",2006,0.844870757851315,1.0009836711359,0.713105136532586
"2000",2006,0.923712940258826,1.05168472830655,0.811313098912751
"2100",2006,1.08972997134635,1.13780346653077,1.04368763620603
